Id,Dataset Name,Agency,Instrument,Physical variable,var,Units,Grid Dimension,Variable Name in Web Interface,model,Dataset Start Time,Dataset End Time
129,HadGEM2-ES Northward Near-Surface Wind,UKMO,HadGEM2-ES,Northward Near-Surface Wind,vas,m s-1,2D,Northward Near-Surface Wind,UKMO_HadGEM2-ES,199412,200510
130,HadGEM2-ES Near-Surface Wind Speed,UKMO,HadGEM2-ES,Near-Surface Wind Speed,sfcWind,m s-1,2D,Near-Surface Wind Speed,UKMO_HadGEM2-ES,199412,200510
131,HadGEM2-ES Sea Surface Height,UKMO,HadGEM2-ES,Sea Surface Height,zos,m,2D,Sea Surface Height,UKMO_HadGEM2-ES,195911,200511
132,HadGEM2-ES Leaf Area Index,UKMO,HadGEM2-ES,Leaf Area Index,lai,1,2D,Leaf Area Index,UKMO_HadGEM2-ES,199412,200510
133,HadGEM2-ES Surface Downwelling Longwave Radiation,UKMO,HadGEM2-ES,Surface Downwelling Longwave Radiation,rlds,W m-2,2D,Surface Downwelling Longwave Radiation,UKMO_HadGEM2-ES,199412,200510
134,HadGEM2-ES Surface Downwelling Shortwave Radiation,UKMO,HadGEM2-ES,Surface Downwelling Shortwave Radiation,rsds,W m-2,2D,Surface Downwelling Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
135,HadGEM2-ES Surface Upwelling Longwave Radiation,UKMO,HadGEM2-ES,Surface Upwelling Longwave Radiation,rlus,W m-2,2D,Surface Upwelling Longwave Radiation,UKMO_HadGEM2-ES,199412,200510
136,HadGEM2-ES Surface Upwelling Shortwave Radiation,UKMO,HadGEM2-ES,Surface Upwelling Shortwave Radiation,rsus,W m-2,2D,Surface Upwelling Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
137,HadGEM2-ES Surface Downwelling Clear-Sky Longwave Radiation,UKMO,HadGEM2-ES,Surface Downwelling Clear-Sky Longwave Radiation,rldscs,W m-2,2D,Surface Downwelling Clear-Sky Longwave Radiation,UKMO_HadGEM2-ES,199412,200510
138,HadGEM2-ES Surface Downwelling Clear-Sky Shortwave Radiation,UKMO,HadGEM2-ES,Surface Downwelling Clear-Sky Shortwave Radiation,rsdscs,W m-2,2D,Surface Downwelling Clear-Sky Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
139,HadGEM2-ES Surface Upwelling Clear-Sky Shortwave Radiation,UKMO,HadGEM2-ES,Surface Upwelling Clear-Sky Shortwave Radiation,rsuscs,W m-2,2D,Surface Upwelling Clear-Sky Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
140,HadGEM2-ES TOA Incident Shortwave Radiation,UKMO,HadGEM2-ES,TOA Incident Shortwave Radiation,rsdt,W m-2,2D,TOA Incident Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
141,HadGEM2-ES TOA Outgoing Longwave Radiation,UKMO,HadGEM2-ES,TOA Outgoing Longwave Radiation,rlut,W m-2,2D,TOA Outgoing Longwave Radiation,UKMO_HadGEM2-ES,199412,200510
142,HadGEM2-ES TOA Outgoing Shortwave Radiation,UKMO,HadGEM2-ES,TOA Outgoing Shortwave Radiation,rsut,W m-2,2D,TOA Outgoing Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
143,HadGEM2-ES TOA Outgoing Clear-Sky Longwave Radiation,UKMO,HadGEM2-ES,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,UKMO_HadGEM2-ES,199412,200510
