,userName,Dataset Name,executionStartTime
339,ksauter,ESM2G Surface Temperature,9/2/2015 14:42
340,ochimborazo,ESM2G Surface Temperature,9/3/2015 14:59
341,ochimborazo,ESM2G Surface Temperature,9/3/2015 14:59
342,lei,ESM2G Sea Surface Temperature,9/1/2015 11:23
343,lei,ESM2G Sea Surface Temperature,9/1/2015 11:25
344,lei,ESM2G Sea Surface Temperature,9/1/2015 12:04
345,jteixeira,ESM2G Sea Surface Temperature,9/1/2015 13:26
346,admin,ESM2G Sea Surface Temperature,9/1/2015 13:40
347,jteixeira,ESM2G Sea Surface Temperature,9/1/2015 13:46
348,btang,ESM2G Sea Surface Temperature,9/1/2015 13:46
349,btang,ESM2G Sea Surface Temperature,9/1/2015 13:47
350,jteixeira,ESM2G Sea Surface Temperature,9/1/2015 13:48
351,btang,ESM2G Sea Surface Temperature,9/1/2015 14:46
352,emaroon,ESM2G Sea Surface Temperature,9/1/2015 15:45
353,emaroon,ESM2G Sea Surface Temperature,9/1/2015 15:48
354,fcannon,ESM2G Sea Surface Temperature,9/1/2015 16:01
355,fcannon,ESM2G Sea Surface Temperature,9/1/2015 16:01
356,emaroon,ESM2G Sea Surface Temperature,9/1/2015 16:28
357,fcannon,ESM2G Sea Surface Temperature,9/1/2015 16:34
358,fcannon,ESM2G Sea Surface Temperature,9/1/2015 16:34
359,ksauter,ESM2G Sea Surface Temperature,9/1/2015 17:14
360,fcannon,ESM2G Sea Surface Temperature,9/1/2015 17:23
361,caquilinger,ESM2G Sea Surface Temperature,9/1/2015 21:15
362,btang,ESM2G Sea Surface Temperature,9/1/2015 21:57
363,emaroon,ESM2G Sea Surface Temperature,9/2/2015 14:45
364,fcannon,ESM2G Sea Surface Temperature,9/2/2015 16:10
365,fcannon,ESM2G Sea Surface Temperature,9/2/2015 16:10
366,fcannon,ESM2G Sea Surface Temperature,9/2/2015 16:11
367,fcannon,ESM2G Sea Surface Temperature,9/2/2015 16:12
368,fcannon,ESM2G Sea Surface Temperature,9/2/2015 16:13
369,fcannon,ESM2G Sea Surface Temperature,9/2/2015 16:14
370,admin,ESM2G Sea Surface Temperature,9/3/2015 13:08
371,admin,ESM2G Sea Surface Temperature,9/3/2015 13:10
372,admin,ESM2G Sea Surface Temperature,9/3/2015 13:11
373,admin,ESM2G Eastward Near-Surface Wind,9/1/2015 09:29
374,czhai,ESM2G Eastward Near-Surface Wind,9/1/2015 10:59
375,jteixeira,ESM2G Eastward Near-Surface Wind,9/1/2015 13:37
376,btang,ESM2G Eastward Near-Surface Wind,9/1/2015 13:45
377,btang,ESM2G Eastward Near-Surface Wind,9/1/2015 13:46
378,czhai,ESM2G Northward Near-Surface Wind,9/1/2015 10:59
379,jteixeira,ESM2G Northward Near-Surface Wind,9/1/2015 13:36
380,btang,ESM2G Northward Near-Surface Wind,9/1/2015 14:46
381,btang,ESM2G Northward Near-Surface Wind,9/1/2015 14:46
382,btang,ESM2G Northward Near-Surface Wind,9/1/2015 14:52
383,abeatriz,ESM2G Northward Near-Surface Wind,9/2/2015 14:09
384,lei,ESM2G Near-Surface Wind Speed,9/1/2015 10:24
385,jteixeira,ESM2G Near-Surface Wind Speed,9/1/2015 13:34
386,jteixeira,ESM2G Near-Surface Wind Speed,9/1/2015 13:35
387,jteixeira,ESM2G Near-Surface Wind Speed,9/1/2015 13:36
388,jteixeira,ESM2G Near-Surface Wind Speed,9/1/2015 13:36
389,jteixeira,ESM2G Near-Surface Wind Speed,9/1/2015 13:37
390,jteixeira,ESM2G Near-Surface Wind Speed,9/1/2015 13:38
391,admin,ESM2G Near-Surface Wind Speed,9/1/2015 13:40
392,btang,ESM2G Near-Surface Wind Speed,9/1/2015 13:47
393,btang,ESM2G Near-Surface Wind Speed,9/1/2015 14:45
394,btang,ESM2G Near-Surface Wind Speed,9/1/2015 14:46
395,btang,ESM2G Near-Surface Wind Speed,9/1/2015 14:46
396,btang,ESM2G Near-Surface Wind Speed,9/1/2015 14:52
397,btang,ESM2G Near-Surface Wind Speed,9/1/2015 14:52
398,btang,ESM2G Near-Surface Wind Speed,9/1/2015 14:57
399,caquilinger,ESM2G Near-Surface Wind Speed,9/1/2015 21:15
400,caquilinger,ESM2G Near-Surface Wind Speed,9/1/2015 21:16
401,hwei,ESM2G Near-Surface Wind Speed,9/2/2015 09:17
402,hwei,ESM2G Near-Surface Wind Speed,9/2/2015 09:18
403,kzhang,ESM2G Near-Surface Wind Speed,9/2/2015 13:59
404,kzhang,ESM2G Near-Surface Wind Speed,9/2/2015 13:59
405,kwillmot,ESM2G Near-Surface Wind Speed,9/2/2015 14:05
406,kwillmot,ESM2G Near-Surface Wind Speed,9/2/2015 14:05
407,abeatriz,ESM2G Near-Surface Wind Speed,9/2/2015 14:10
408,abeatriz,ESM2G Near-Surface Wind Speed,9/2/2015 14:10
409,cmartinezvi,ESM2G Near-Surface Wind Speed,9/2/2015 14:16
410,cmartinezvi,ESM2G Near-Surface Wind Speed,9/2/2015 14:17
411,mroge,ESM2G Near-Surface Wind Speed,9/2/2015 14:24
412,mroge,ESM2G Near-Surface Wind Speed,9/2/2015 14:24
413,gmarques,ESM2G Near-Surface Wind Speed,9/2/2015 14:28
414,gmarques,ESM2G Near-Surface Wind Speed,9/2/2015 14:28
